  Operator non-availability periods., 4OR
  Review - Querying Multiple Features of Groups in Relational Databases., ACM SIGMOD Digit. Rev.
  Review - Temporal Logic in Information Systems., ACM SIGMOD Digit. Rev.
  Review - Update Propagation Protocols For Replicated Databases., ACM SIGMOD Digit. Rev.
  Review - Predicate Migration Optimizing Queries with Expensive Predicates., ACM SIGMOD Digit. Rev.
  Review - Providing Better Support for a Class of Decision Support Queries., ACM SIGMOD Digit. Rev.
  Review - Record-Boundary Discovery in Web Documents., ACM SIGMOD Digit. Rev.
  Review - Using Lifetime Predictors to Improve Memory Allocation Performance., ACM SIGMOD Digit. Rev.
  Review - Hash Joins and Hash Teams in Microsoft SQL Server., ACM SIGMOD Digit. Rev.
  Review - WALRUS A Similarity Retrieval Algorithm for Image Databases., ACM SIGMOD Digit. Rev.
  Review - EROC A Toolkit for Building NEATO Query Optimizers., ACM SIGMOD Digit. Rev.
  Review - Relational Databases for Querying XML Documents Limitations and Opportunities., ACM SIGMOD Digit. Rev.
  Review - PM3 An Orthogonal Persistent Systems Programming Language - Design, Implementation, Performance., ACM SIGMOD Digit. Rev.
  Review - Complexity of Answering Queries Using Materialized Views., ACM SIGMOD Digit. Rev.
  Review - Authoritative Sources in a Hyperlinked Environment., ACM SIGMOD Digit. Rev.
  Review - Magic Sets and Other Strange Ways to Implement Logic Programs., ACM SIGMOD Digit. Rev.
  Review - Physical Data Independence, Constraints, and Optimization with Universal Plans, ACM SIGMOD Digit. Rev.
  Review - Mind Your Vocabulary Query Mapping Across Heterogeneous Information Sources., ACM SIGMOD Digit. Rev.
  Review - Estimating Alphanumeric Selectivity in the Presence of Wildcards., ACM SIGMOD Digit. Rev.
  Review - Relational Databases for Querying XML Documents Limitations and Opportunities., ACM SIGMOD Digit. Rev.
  Review - An Array-Based Algorithm for Simultaneous Multidimensional Aggregates., ACM SIGMOD Digit. Rev.
  Review - Access Path Selection in a Relational Database Management System., ACM SIGMOD Digit. Rev.
  Review - On Closed World Data Bases., ACM SIGMOD Digit. Rev.
  Review - Context-Based Prefetch for Implementing Objects on Relations., ACM SIGMOD Digit. Rev.
  Review - XTRACT A System for Extracting Document Type Descriptors from XML Documents., ACM SIGMOD Digit. Rev.
  Review - Multi-Step Processing of Spatial Joins., ACM SIGMOD Digit. Rev.
  Hardware Technology Trends and Database Opportunities, SIGMOD Conference 1998 Keynote Speech, Video, ACM SIGMOD Digit. Symp. Collect.
  Building Replacement Parts for the Brain A New Era in Neural Prothetcis, SIGMOD Conference 1999, Keynote Speech, Video, ACM SIGMOD Digit. Symp. Collect.
  What Next? A Few Remaining Problems in Information Technlogy, SIGMOD Conference 1999, ACM Turing Award Lecture, Video, ACM SIGMOD Digit. Symp. Collect.
  Investing in Research, SIGMOD Conference 1998 Keynote Speech, Video, ACM SIGMOD Digit. Symp. Collect.
  The Distributed ASCI Supercomputer Project., ACM SIGOPS Oper. Syst. Rev.
  SIGPLAN programming language curriculum workshop Discussion Summaries and recommendations., ACM SIGPLAN Notices
  The Java Pathfinder Workshop 2019., ACM SIGSOFT Softw. Eng. Notes
  Human mobility based individual-level epidemic simulation platform., ACM SIGSPATIAL Special
  GeoAI 2019 workshop report The 3nd ACM SIGSPATIAL International Workshop on GeoAI AI for Geographic Knowledge Discovery Seattle, WA, USA - November 5, 2019., ACM SIGSPATIAL Special
  Metrology for information technology., ACM Stand.
  Improving Public Transit Accessibility for Blind Riders by Crowdsourcing Bus Stop Landmark Locations with Google Street View An Extended Analysis., ACM Trans. Access. Comput.
  Extraction of Emotional Information via Visual Scanning Patterns A Feasibility Study of Participants with Schizophrenia and Neurotypical Individuals., ACM Trans. Access. Comput.
  Pictures in Your Mind Using Interactive Gesture-Controlled Reliefs to Explore Art., ACM Trans. Access. Comput.
  On Problems as Hard as CNF-SAT., ACM Trans. Algorithms
  Investigating Perceived Emotional Correlates of Rhythmic Density in Algorithmic Music Composition., ACM Trans. Appl. Percept.
  Enabling GPGPU Low-Level Hardware Explorations with MIAOW An Open-Source RTL Implementation of a GPGPU., ACM Trans. Archit. Code Optim.
  Making MIRACLEs Interactive translingual search for Cebuano and Hindi., ACM Trans. Asian Lang. Inf. Process.
  Towards effective strategies for monolingual and bilingual information retrieval Lessons learned from NTCIR-4., ACM Trans. Asian Lang. Inf. Process.
  From Image to Translation Processing the Endangered Nyushu Script., ACM Trans. Asian Low Resour. Lang. Inf. Process.
  A Survey of Opinion Mining in Arabic A Comprehensive System Perspective Covering Challenges and Advances in Tools, Resources, Models, Applications, and Visualizations., ACM Trans. Asian Low Resour. Lang. Inf. Process.
  Enhancing Shift-Reduce Constituent Parsing with Action N-Gram Model., ACM Trans. Asian Low Resour. Lang. Inf. Process.
  Control Strategies for Self-Adaptive Software Systems., ACM Trans. Auton. Adapt. Syst.
  Scalable Game Design A Strategy to Bring Systemic Computer Science Education to Schools through Game Design and Simulation Creation., ACM Trans. Comput. Educ.
  Continuous Detection of Physiological Stress with Commodity Hardware., ACM Trans. Comput. Heal.
  Put That Needle There Customized Flexible On-Body Thin-Film Displays for Medical Navigation., ACM Trans. Comput. Heal.
  Blending Human and Artificial Intelligence to Support Autistic Children's Social Communication Skills., ACM Trans. Comput. Hum. Interact.
  Model-Checking on Ordered Structures., ACM Trans. Comput. Log.
  Apache REEF Retainable Evaluator Execution Framework., ACM Trans. Comput. Syst.
  Verifying proofs in constant depth., ACM Trans. Comput. Theory
  HUCDO A Hybrid User-centric Data Outsourcing Scheme., ACM Trans. Cyber Phys. Syst.
  System R Relational Approach to Database Management., ACM Trans. Database Syst.
  Cross-point Resistive Memory Nonideal Properties and Solutions., ACM Trans. Design Autom. Electr. Syst.
  Convergence of Position Auctions under Myopic Best-Response Dynamics., ACM Trans. Economics and Comput.
  Parallelizing Industrial Hard Real-Time Applications for the parMERASA Multicore., ACM Trans. Embed. Comput. Syst.
  Deep reflectance fields high-quality facial reflectance field inference from color gradient illumination., ACM Trans. Graph.
  Iris An Object-Oriented Database Management System., ACM Trans. Inf. Syst.
  Designing Password Policies for Strength and Usability., ACM Trans. Inf. Syst. Secur.
  An Ensemble Architecture for Learning Complex Problem-Solving Techniques from Demonstration., ACM Trans. Intell. Syst. Technol.
  Interacting with social networks of intelligent things and people in the world of gastronomy., ACM Trans. Interact. Intell. Syst.
  Sub-Population Specific Models of Couples' Conflict., ACM Trans. Internet Techn.
  SafeVchat A System for Obscene Content Detection in Online Video Chat Services., ACM Trans. Internet Techn.
  Gait Recognition as a Service for Unobtrusive User Identification in Smart Spaces., ACM Trans. Internet Things
  VisIRR A Visual Analytics System for Information Retrieval and Recommendation for Large-Scale Document Data., ACM Trans. Knowl. Discov. Data
  Blockchains for Business Process Management - Challenges and Opportunities., ACM Trans. Manag. Inf. Syst.
  An overview of the Trilinos project., ACM Trans. Math. Softw.
  Simulation-based models of emergency departments  Operational, tactical, and strategic staffing., ACM Trans. Model. Comput. Simul.
  Quantifying Cloud Performance and Dependability Taxonomy, Metric Design, and Emerging Challenges., ACM Trans. Model. Perform. Evaluation Comput. Syst.
  Bagadus An integrated real-time system for soccer analytics., ACM Trans. Multim. Comput. Commun. Appl.
  Gunrock GPU Graph Analytics., ACM Trans. Parallel Comput.
  A Usability Study of Four Secure Email Tools Using Paired Participants., ACM Trans. Priv. Secur.
  Scaling Reliably Improving the Scalability of the Erlang Distributed Actor Platform., ACM Trans. Program. Lang. Syst.
  The First 25 Years of the FPL Conference Significant Papers., ACM Trans. Reconfigurable Technol. Syst.
  The GINSENG system for wireless monitoring and control Design and deployment experiences., ACM Trans. Sens. Networks
  No More One Liners Bringing Context into Emoji Recommendations., ACM Trans. Soc. Comput.
  Status Quo in Requirements Engineering A Theory and a Global Family of Surveys., ACM Trans. Softw. Eng. Methodol.
  Incorporating LSTM Auto-Encoders in Optimizations to Solve Parking Officer Patrolling Problem., ACM Trans. Spatial Algorithms Syst.
  A New Approach for Pedestrian Density Estimation Using Moving Sensors and Computer Vision., ACM Trans. Spatial Algorithms Syst.
  Distributed speech translation technologies for multiparty multilingual communication., ACM Trans. Speech Lang. Process.
  Fail-Slow at Scale Evidence of Hardware Performance Faults in Large Production Systems., ACM Trans. Storage
  Individual Judgments Versus Consensus Estimating Query-URL Relevance., ACM Trans. Web
  SmartAQnet - neuer smarter Weg zur räumlichen Erfassung von FeinstaubSmartAQnet - New Smart Way for Spatial Detection of Fine Dust., AGIT Journal Angew. Geoinformatik
  DRUMS Defeasible Reasoning and Uncertainty Management Systems., AI Commun.
  Reports on the Twenty-First National Conference on Artificial Intelligence (AAAI-06) Workshop Program., AI Mag.
  ACM SIGAI activity report., AI Matters
  From observation to simulation generating culture-specific behavior for interactive systems., AI Soc.
  A two-layered approach to communicative artifacts., AI Soc.
  Exploring Failure and Engagement in a Complex Digital Training Game A Multi-method Examination., AIS Trans. Hum. Comput. Interact.
  Information System Continuance Intention in the Context of Network Effects and Freemium Business Models A Replication Study of Cloud Services in Germany., AIS Trans. Replication Res.
  Employee Moral Disengagement in Response to Stressful Information Security Requirements A Methodological Replication of a Coping-Based Model., AIS Trans. Replication Res.
  On the Merits and Limits of Replication and Negation for IS Research., AIS Trans. Replication Res.
  What Drives Online Repurchase Intention? A Replication of the Moderating Role of Perceived Effectiveness of E-Commerce Institutional Mechanisms., AIS Trans. Replication Res.
  Puzzling and apuzzling graphs., AKCE Int. J. Graphs Comb.
  Inheritance for ADTs (revised), ANSI X2H2
  Object ADTs (with improvements for Value ADTs), ANSI X3H2
  Challenges of mastering the energy sector and sustainable solutions for development in Africa., ARIMA J.
  Vers une structuration auto-stabilisante des réseaux Ad Hoc., ARIMA J.
  Kommentare und Erwiderung zu Qualitätszielfunktionen für stark variierende Gemeindegrößen im Zensus 2021., AStA Wirtschafts und Sozialstatistisches Arch.
  1982/83 End office connection study ASPEN data acquisition system and sampling plan., AT&T Bell Lab. Tech. J.
  The UNIX system The virtual protocol machine., AT&T Bell Lab. Tech. J.
  1982/83 End office connection study Analog voice and voiceband data transmission performance characterization of the public switched network., AT&T Bell Lab. Tech. J.
  The UNIX system UNIX operating system porting experiences., AT&T Bell Lab. Tech. J.
  The SLC 96 subscriber loop carrier system The fiber SLC carrier system., AT&T Bell Lab. Tech. J.
  Adaptive transversal equalization of multipath propagation for 16-QAM, 90-Mb/s digital radio., AT&T Bell Lab. Tech. J.
  Experimental ion-implanted bubble memory device with 16-μm2 cell., AT&T Bell Lab. Tech. J.
  1B processor deployment Leading the way to flawless execution., AT&T Tech. J.
  Closed On-Line Bin Packing., Acta Cybern.
  Revised Report on the Algorithmic Language ALGOL 68, Acta Informatica
  Synthesizing robust systems., Acta Informatica
  The adolescence of electronic health records Status and perspectives for large scale implementation., Acta Informatica Pragensia
  Linear algebra software for large-scale accelerated multicore computing., Acta Numer.
  5GinFIRE An end-to-end open5G vertical network function ecosystem., Ad Hoc Networks
  A Secure Low-Delay Protocol for Wireless Body Area Networks., Ad Hoc Sens. Wirel. Networks
  A Probabilistic Approach to Location Estimation in MANETs., Ad Hoc Sens. Wirel. Networks
  A model of exploration and goal-searching in the cockroach, Blaberus discoidalis., Adapt. Behav.
  Adapted and Adaptive Properties in Neural Networks for Visual Pattern Discrimination A Neurobiological Analysis Toward Neural Engineering., Adapt. Behav.
  Properties for the Fréchet mean in Billera-Holmes-Vogtmann treespace., Adv. Appl. Math.
  Development of Robots with Soft Sensor Flesh for Achieving Close Interaction Behavior., Adv. Artif. Intell.
  Comparison of Artificial Neural Network with Logistic Regression as Classification Models for Variable Selection for Prediction of Breast Cancer Patient Outcomes., Adv. Artif. Neural Syst.
  BRASERO A Resource for Benchmarking RNA Secondary Structure Comparison Algorithms., Adv. Bioinformatics
  Biologistics and the Struggle for Efficiency Concepts and Perspectives., Adv. Complex Syst.
  Applications in Data-Intensive Computing., Adv. Comput.
  Two-dimensional offsets and medial axis transform., Adv. Comput. Math.
  Finite volume methods for numerical simulation of the discharge motion described by different physical models., Adv. Comput. Math.
  Numerical experiments with MALDI Imaging data., Adv. Comput. Math.
  On Completeness and Soundness in Interactive Proof Systems., Adv. Comput. Res.
  A Randomized Data Structure for Ordered Sets., Adv. Comput. Res.
  Ensemble of a subset of kNN classifiers., Adv. Data Anal. Classif.
  Ensemble of optimal trees, random forest and random projection ensemble classification., Adv. Data Anal. Classif.
  Automated Sleep Staging Technique Based on the Empirical Mode Decomposition Algorithm a Preliminary Study., Adv. Data Sci. Adapt. Anal.
  Optimal Portfolios with End-of-Period Target., Adv. Decis. Sci.
  Discriminant Analysis of Zero Recovery for China's NPL., Adv. Decis. Sci.
  Statistical Estimation of Portfolios for Dependent Financial Returns., Adv. Decis. Sci.
  Production service system enabled by cloud-based smart resource hierarchy for a highly dynamic synchronized production process., Adv. Eng. Informatics
  Editorial., Adv. Eng. Softw.
  Real-Life Applications of Fuzzy Logic., Adv. Fuzzy Syst.
  A Dynamic Bayesian Approach to Computational Laban Shape Quality Analysis., Adv. Hum. Comput. Interact.
  An Integrated Analysis System for Agricultural Biotechnology Information and Web Service., Adv. Inf. Sci. Serv. Sci.
  Side-Channel Analysis for Detecting Protocol Tunneling., Adv. Internet Things
  Computing discrete logarithms in cryptographically-interesting characteristic-three finite fields., Adv. Math. Commun.
  Toward 4D mechanical correlation., Adv. Model. Simul. Eng. Sci.
  Applications of SPDM in aircraft structural analysis at Embraer., Adv. Model. Simul. Eng. Sci.
  Real-Time Audio-Visual Analysis for Multiperson Videoconferencing., Adv. Multim.
  Eighth-Order Compact Finite Difference Scheme for 1D Heat Conduction Equation., Adv. Numer. Anal.
  Evolutionary Multiobjective Optimization including Practically Desirable Solutions., Adv. Oper. Res.
  Green Scheduling of Jobs and Flexible Periods of Maintenance in a Two-Machine Flowshop to Minimize Makespan, a Measure of Service Level and Total Energy Consumption., Adv. Oper. Res.
  Fluctuation of Firm Size in the Long-Run and Bimodal Distribution., Adv. Oper. Res.
  A New Technique for Determining Approximate Center of a Polytope., Adv. Oper. Res.
  Distributed Approach for Solving Time-Dependent Problems in Multimodal Transport Networks., Adv. Oper. Res.
  Algorithms for Location Problems Based on Angular Distances., Adv. Oper. Res.
  Designing, developing, and deploying systems to support human-robot teams in disaster response., Adv. Robotics
  Software Test Automation., Adv. Softw. Eng.
  Single Channel Wireless EEG Proposed Application in Train Drivers., Afr. J. Inf. Commun. Technol.
  Generic Model and Architecture for Cooperating Objects in Sensor Network Environments., Afr. J. Inf. Commun. Technol.
  Contextualizing ICT in Africa The Development of the CATI model in Tanzanian Higher Education., Afr. J. Inf. Commun. Technol.
  Statistical validation of physiological indicators for non-invasive and hybrid driver drowsiness detection system., Afr. J. Inf. Commun. Technol.
  Pricing stocks with yardsticks and sentiments., Algorithmic Finance
  Predictable markets? A news-driven model of the stock market., Algorithmic Finance
  On the Approximability of TSP on Local Modifications of Optimally Solved Instances., Algorithmic Oper. Res.
  Colored Simultaneous Geometric Embeddings and Universal Pointsets., Algorithmica
  R2D2 A Dbpedia Chatbot Using Triple-Pattern Like Queries., Algorithms
  Modeling genetic imprinting effects of DNA sequences with multilocus polymorphism data., Algorithms Mol. Biol.
  Parse Fitting and Prose Fixing Getting a Hold on III-Formedness., Am. J. Comput. Linguistics
  Computational Optimization of Manufacturing Batch Size and Shipment for an Integrated EPQ Model with Scrap., Am. J. Comput. Math.
  Methods of Approximation in hpk Framework for ODEs in Time Resulting from Decoupling of Space and Time in IVPs., Am. J. Comput. Math.
  Conditional Value-at-Risk for Random Immediate Reward Variables in Markov Decision Processes., Am. J. Comput. Math.
  A Recurrence Generating Multiples of Primes 10655., Am. Math. Mon.
  Unterstützende Komponenten für wissensbasierte Mensch-Computer-Kommunikation., Angew. Inform.
  Einsatz einer anwendungsneutralen Benutzerschnittstelle in einer Büroanwendung als Beispiel für wissensbasierte Mensch-Computer-Kommunikation., Angew. Inform.
  Geospatial and contextual approaches to energy balance and health., Ann. GIS
